posicion,tiempo_lineal,tiempo_binaria,tiempo_galopante
0,86,346,43
50000,156451,405,347
100000,306593,406,412
150000,446784,400,378
200000,581749,340,349
250000,697460,276,408
300000,865373,377,455
350000,1016660,358,422
400000,1183925,356,382
450000,1302886,368,362
500000,1440687,263,404
550000,1578705,370,474
600000,1733134,395,463
650000,1836362,388,468
700000,2014904,353,476
750000,2137398,305,422
800000,2311640,407,486
850000,2397297,334,469
900000,2576190,387,469
950000,2693207,354,412
999999,2919050,321,363
0,81,441,47
50000,155905,325,331
100000,295349,354,358
150000,435687,318,353
200000,590832,381,410
250000,737384,305,499
300000,849818,348,390
350000,1021702,366,491
400000,1140576,388,421
450000,1288981,367,356
500000,1437576,267,438
550000,1547010,378,467
600000,1697677,375,477
650000,1841937,399,461
700000,1994483,352,509
750000,2128334,329,465
800000,2268697,400,456
850000,2556644,341,484
900000,2567558,407,463
950000,2700099,362,398
999999,2839750,299,354
0,96,352,47
50000,172263,408,362
100000,307189,408,381
150000,440517,369,374
200000,590170,374,389
250000,743290,322,457
300000,875301,430,437
350000,1004959,364,441
400000,1151044,367,411
450000,1296230,407,394
500000,1441841,299,443
550000,1585067,396,425
600000,1715827,365,454
650000,1861540,398,453
700000,2052499,412,493
750000,2260255,308,453
800000,2279316,391,502
850000,2414020,370,485
900000,2559620,379,482
950000,2690942,379,428
999999,2828940,253,338
0,88,383,53
50000,167948,435,391
100000,304838,341,381
150000,450361,351,372
200000,609237,413,388
250000,736166,311,414
300000,873686,374,416
350000,1001561,369,407
400000,1174694,408,412
450000,1306745,376,376
500000,1459462,301,452
550000,1574378,422,498
600000,1728903,313,486
650000,1855631,389,440
700000,1995291,381,435
750000,2134702,287,461
800000,2268371,375,438
850000,2433027,312,460
900000,2562789,386,469
950000,2706089,353,440
999999,2833216,243,334
0,85,346,47
50000,167930,445,408
100000,319644,327,327
150000,469300,428,400
200000,618710,364,384
250000,719181,320,414
300000,867781,399,427
350000,1017210,359,443
400000,1164073,351,393
450000,1293628,401,375
500000,1415080,312,444
550000,1594251,416,473
600000,1721092,377,490
650000,1896982,409,458
700000,2033484,360,473
750000,2159606,291,506
800000,2281150,361,444
850000,2438806,333,451
900000,2564075,346,460
950000,2698552,349,420
999999,2883681,280,374
0,97,366,45
50000,178235,404,416
100000,299596,378,368
150000,458859,366,369
200000,591334,375,375
250000,738387,337,443
300000,893493,400,451
350000,1032750,372,571
400000,1169302,390,422
450000,1275791,354,394
500000,1450361,271,409
550000,1574027,395,439
600000,1940764,371,479
650000,1837652,375,466
700000,1990540,340,493
750000,2139995,286,446
800000,2296419,392,430
850000,2460263,320,448
900000,2550175,377,387
950000,2716686,359,402
999999,2856561,310,341
0,91,364,53
50000,158086,391,396
100000,350474,337,377
150000,455142,396,405
200000,563648,364,356
250000,735977,290,356
300000,869672,380,398
350000,1007227,366,456
400000,1141268,388,405
450000,1298063,354,348
500000,1446842,393,415
550000,1587718,362,445
600000,1793326,414,507
650000,1853688,369,445
700000,1975379,326,465
750000,2129934,304,441
800000,2272618,411,429
850000,2429297,340,445
900000,2534275,425,468
950000,2714463,365,481
999999,2819212,256,328
0,93,370,45
50000,169577,349,331
100000,320629,353,332
150000,499325,427,440
200000,589557,408,394
250000,729347,308,409
300000,869625,359,448
350000,1013797,367,478
400000,1168441,356,360
450000,1303717,373,364
500000,1401893,298,437
550000,1562207,374,442
600000,1710418,385,488
650000,1842827,365,469
700000,2103551,378,481
750000,2119476,307,454
800000,2267933,414,463
850000,2433822,331,454
900000,2536136,343,531
950000,2712467,359,430
999999,2854481,257,326
0,66,373,47
50000,169447,407,362
100000,308613,391,400
150000,459158,394,398
200000,601549,393,379
250000,742927,301,413
300000,873042,381,480
350000,1004061,394,414
400000,1161767,344,369
450000,1281236,370,373
500000,1433908,289,423
550000,1592520,374,489
600000,1707126,419,528
650000,1868468,427,484
700000,2013166,368,470
750000,2142818,297,463
800000,2303809,415,475
850000,2415929,330,443
900000,2561508,410,499
950000,2695035,361,396
999999,2888109,263,331
0,97,331,48
50000,168816,366,356
100000,302183,405,363
150000,432753,392,400
200000,603986,364,385
250000,729113,275,390
300000,859646,356,400
350000,1062113,394,474
400000,1156193,429,413
450000,1301743,362,382
500000,1446785,282,420
550000,1580345,424,468
600000,1752659,401,474
650000,1845315,400,435
700000,2066287,336,494
750000,2158091,297,467
800000,2258025,377,456
850000,2404593,362,446
900000,2540209,385,461
950000,2711145,349,405
999999,3049051,277,368
0,86,372,42
50000,167541,419,370
100000,315428,397,384
150000,461554,343,352
200000,599580,295,360
250000,722382,243,347
300000,887420,379,498
350000,1009284,381,522
400000,1153025,381,406
450000,1306162,375,348
500000,1424557,277,444
550000,1577650,393,474
600000,1716728,385,448
650000,1856748,394,467
700000,1988227,346,476
750000,2122332,306,446
800000,2286127,382,441
850000,2414561,376,473
900000,2545848,429,474
950000,2706707,381,435
999999,2832032,253,339
0,86,316,41
50000,167861,422,411
100000,305795,348,379
150000,443139,385,397
200000,578461,393,361
250000,743380,328,414
300000,882149,359,432
350000,1014772,358,464
400000,1147135,359,418
450000,1300742,393,381
500000,1442350,301,431
550000,1582829,394,431
600000,1722400,370,456
650000,1845459,395,444
700000,1987274,339,440
750000,2146139,300,467
800000,2276598,393,447
850000,2390110,342,476
900000,2546626,411,473
950000,2696592,370,439
999999,2869795,274,363
0,89,406,50
50000,150780,381,382
100000,322747,379,371
150000,456683,344,401
200000,595983,343,360
250000,720921,158,410
300000,937716,380,394
350000,1013038,373,449
400000,1157707,376,380
450000,1277714,363,363
500000,1616300,146,448
550000,1586912,406,473
600000,1671706,303,483
650000,1849942,363,461
700000,1981870,377,459
