n,tiempo_lineal,tiempo_binaria,tiempo_galopante
1,249,290,74
10001,49250,718,869
20001,95470,718,781
30001,14983,319,375
40001,126631,321,492
50001,144897,241,294
60001,72623,314,351
70001,529,305,245
80001,114572,342,383
90001,206391,285,318
100001,27662,283,306
110001,252685,351,366
120001,282233,314,350
130001,232147,269,316
140001,321779,283,369
150001,244192,267,385
160001,119197,279,328
170001,444185,280,360
180001,261284,297,364
190001,482557,315,361
200001,164448,321,345
210001,614393,294,364
220001,135432,298,316
230001,333439,301,371
240001,280905,306,364
250001,323770,326,334
260001,101914,398,339
270001,583118,380,349
280001,159665,389,412
290001,773095,376,316
300001,674081,327,422
310001,690300,337,345
320001,781061,394,386
330001,128592,361,396
340001,489200,331,404
350001,163217,344,421
360001,541975,329,397
370001,847440,407,393
380001,880552,348,358
390001,1017170,383,394
400001,83247,388,449
410001,1006673,407,392
420001,1110116,387,465
430001,416108,342,395
440001,568708,329,383
450001,392619,340,343
460001,1056991,387,375
470001,1145583,383,371
480001,291096,379,373
490001,661414,408,363
500001,718718,343,415
510001,803743,434,463
520001,1342321,382,411
530001,670089,396,334
540001,452146,341,365
550001,870850,413,398
560001,696826,400,427
570001,607834,335,416
580001,1512334,413,390
590001,1387923,414,390
600001,346055,329,357
610001,1448839,431,419
620001,1628689,355,430
630001,1716961,409,485
640001,1576464,389,468
650001,1213729,465,362
660001,497363,336,405
670001,296128,333,355
680001,943140,373,495
690001,750359,397,369
700001,383355,383,357
710001,1235011,409,396
720001,1407174,386,423
730001,359853,379,378
740001,1351295,451,423
750001,2099449,327,433
760001,1762042,436,439
770001,1341583,430,414
780001,2200678,426,374
790001,655238,417,371
800001,1458189,423,422
810001,2761105,389,474
820001,1203495,417,472
830001,757187,438,445
840001,1114745,415,443
850001,1786338,428,398
860001,324267,354,367
870001,1399180,448,478
880001,887551,374,441
890001,2250381,403,393
900001,2245102,418,444
910001,1695189,400,423
920001,1927057,463,459
930001,2067105,468,424
940001,2181200,432,363
950001,2424181,450,412
960001,1192541,393,417
970001,1679624,453,494
980001,2764588,333,425
990001,1848046,411,423
1000001,2199455,385,447
1,348,144,46
10001,16370,269,283
20001,27770,291,415
30001,83616,248,388
40001,108911,305,340
50001,5782,278,262
60001,135955,288,310
70001,64349,300,305
80001,139344,381,399
90001,179189,264,303
100001,32464,306,279
110001,144685,293,447
120001,18189,280,319
130001,322339,274,285
140001,195369,235,314
150001,277260,310,369
160001,121874,314,369
170001,354272,314,424
180001,438553,298,289
190001,349736,279,304
200001,156414,359,408
210001,436180,318,384
220001,11160,315,330
230001,176719,293,331
240001,488490,334,375
250001,379984,303,388
260001,463381,375,286
270001,498511,293,378
280001,761405,320,401
290001,823616,326,332
300001,403468,321,339
310001,178904,461,450
320001,304111,316,399
330001,14137,359,346
340001,787671,373,411
350001,822504,346,363
360001,29540,366,340
370001,192367,479,347
380001,438760,300,424
390001,836138,336,388
400001,343673,287,374
410001,163708,330,389
420001,281789,393,380
430001,1172756,374,422
440001,259985,329,325
450001,207239,293,355
460001,156845,365,330
470001,514611,383,373
480001,1343088,320,385
490001,1124485,380,401
500001,982036,419,536
510001,203337,353,307
520001,68893,410,450
530001,1050941,414,440
540001,1369257,455,410
550001,1277704,381,421
560001,1272556,360,439
570001,1588603,397,392
580001,1180268,398,420
590001,47890,362,372
600001,98562,359,326
610001,453474,437,365
620001,679988,333,417
630001,1210925,364,457
640001,608107,413,398
650001,874332,365,481
660001,975793,320,429
670001,1725270,410,389
680001,1439177,456,430
690001,732445,308,395
700001,915506,415,370
710001,1749040,371,485
720001,912675,549,417
730001,256244,325,380
740001,1406576,355,383
750001,473154,377,380
760001,147953,352,312
770001,2144312,381,414
780001,1383330,439,397
790001,1620175,402,468
800001,1738980,400,385
810001,1825817,411,457
820001,1359588,386,399
830001,1622739,438,394
840001,657861,423,390
850001,435086,397,374
860001,1513854,438,446
870001,2036650,452,527
880001,2447569,391,379
890001,1822757,418,419
900001,2738640,486,497
910001,1149781,405,405
920001,2494193,435,417
930001,2185737,373,422
940001,1331984,376,439
950001,1224780,453,366
960001,771068,397,367
970001,1348329,391,382
980001,1705249,400,465
990001,2551512,442,444
1000001,1764443,453,494
1,155,155,38
10001,4999,257,267
20001,75230,332,410
30001,90208,272,418
40001,112592,268,317
50001,2393,301,264
60001,104244,308,313
70001,67461,274,296
80001,163806,309,333
90001,27202,315,296
100001,97168,305,323
110001,295614,281,340
120001,21379,315,408
130001,224664,309,333
140001,438074,322,355
150001,204825,279,349
160001,47629,347,385
170001,11268,286,259
180001,161725,360,384
190001,264110,351,363
200001,152280,322,340
210001,356942,327,342
220001,154863,373,397
230001,468422,295,372
240001,557797,296,369
250001,613498,299,373
260001,684194,305,399
270001,203617,345,347
280001,737022,339,304
290001,688620,328,397
300001,728394,407,400
310001,355163,326,348
320001,324007,357,348
330001,99152,392,387
340001,560495,404,376
350001,320593,315,383
360001,62086,379,484
370001,206413,382,345
380001,973836,335,362
390001,697266,364,363
400001,293452,331,403
410001,269404,338,364
420001,862803,377,366
430001,450516,326,364
440001,530686,415,405
450001,271107,349,357
460001,801858,378,406
470001,282340,350,365
480001,733354,345,405
490001,233392,346,354
500001,362227,400,418
510001,823223,374,398
520001,1383503,410,425
530001,646020,423,427
540001,270387,296,332
550001,980335,327,418
560001,1455958,416,449
570001,1422183,365,377
580001,124146,362,381
590001,1604358,425,361
600001,1100956,423,448
610001,1591517,446,451
620001,223171,300,352
630001,502819,318,376
640001,595869,371,419
650001,137144,382,316
660001,612217,365,423
670001,1310039,378,427
680001,1318683,421,499
690001,1391971,356,417
700001,255821,402,372
710001,1599737,417,439
720001,339298,351,391
730001,1000890,392,447
740001,1401848,437,445
750001,741073,323,364
760001,220202,357,354
770001,1451042,413,427
780001,611421,403,404
790001,2022082,461,405
800001,768933,363,350
810001,814014,441,444
820001,2080471,433,415
830001,673442,376,378
840001,1665087,418,444
850001,1862384,445,469
860001,490305,367,430
870001,1655035,470,405
880001,1218675,420,434
890001,692907,310,497
900001,1283180,407,483
910001,445767,360,412
920001,1076373,423,443
930001,1677009,461,435
940001,1963466,374,442
950001,1318567,351,497
960001,2172502,428,453
970001,1402369,364,417
980001,2404517,389,456
990001,580776,402,375
1000001,106439,405,391
1,311,153,46
10001,23086,399,510
20001,7023,430,419
30001,72423,299,376
40001,108267,353,360
50001,96176,292,360
60001,65608,273,319
70001,19502,335,347
80001,296599,355,497
90001,54977,276,297
100001,274892,299,316
110001,218789,363,512
120001,46223,275,295
130001,131142,281,346
140001,318085,277,329
150001,294386,274,400
160001,285380,293,380
170001,328646,302,360
180001,41542,339,401
190001,115228,334,414
200001,528972,316,406
210001,428717,344,414
220001,46893,311,391
230001,652038,362,375
240001,279972,293,352
250001,105597,387,397
260001,356986,302,355
270001,126831,296,309
280001,729218,347,359
290001,746338,333,398
300001,388421,362,412
310001,242450,321,335
320001,754216,352,360
330001,17165,345,268
340001,564374,347,405
350001,922756,371,400
360001,657673,384,361
370001,850469,318,397
380001,559008,336,415
390001,914371,324,422
400001,808500,352,431
410001,531581,359,364
420001,1109559,388,336
430001,1004025,369,392
440001,1174499,452,397
450001,1183096,401,441
460001,1298229,346,425
470001,1046694,425,517
480001,694616,362,364
490001,1161969,387,387
500001,891823,348,395
510001,963223,410,408
520001,461539,338,438
530001,1408547,384,426
540001,474678,382,406
550001,764843,396,362
560001,285615,319,337
570001,152717,304,338
580001,928532,406,442
590001,753453,336,427
600001,616893,339,369
610001,602355,382,441
620001,502085,363,355
630001,1053745,379,385
640001,646566,363,427
650001,1652289,408,424
660001,144698,384,407
670001,1068691,367,408
680001,413068,383,331
690001,1771240,440,434
700001,1792400,415,455
710001,205382,457,340
720001,1692058,413,459
730001,1330058,470,376
740001,504971,393,362
750001,67832,421,343
760001,1284532,588,334
770001,1913761,367,426
780001,1843268,409,362
790001,727086,389,364
800001,1724219,438,441
810001,178896,380,359
820001,1851409,377,424
830001,2323188,334,385
840001,1215864,372,433
850001,1957574,590,427
860001,716045,335,396
870001,1638162,350,399
880001,1834245,373,493
890001,804436,473,519
900001,260104,374,384
910001,1231045,445,409
920001,2569775,316,500
930001,543397,377,384
940001,1360438,376,452
950001,2340552,413,407
960001,1171999,582,851
970001,2257617,413,400
980001,2006911,401,420
990001,2669837,470,521
1000001,856324,356,454
1,104,133,41
10001,15542,251,265
20001,39754,234,303
30001,117534,445,393
40001,175477,306,442
50001,39469,282,345
60001,54221,400,310
70001,150351,235,300
80001,394769,328,424
90001,132748,256,331
100001,33310,285,329
110001,126372,367,432
120001,72255,312,334
130001,144252,311,325
140001,347186,336,393
150001,210084,286,389
160001,278772,313,346
170001,307569,333,351
180001,176707,309,326
190001,349147,279,369
200001,329101,305,350
210001,121831,417,374
220001,190247,359,410
230001,632822,294,387
240001,641092,358,309
250001,45033,437,365
260001,751837,251,337
270001,396116,298,333
280001,427248,326,340
290001,89937,461,411
300001,157627,317,371
310001,632464,341,438
320001,137578,361,430
330001,898937,320,378
340001,160061,347,432
350001,334880,350,386
360001,415174,344,333
370001,362737,328,373
380001,547568,373,386
390001,1108610,368,386
400001,966560,378,464
410001,726642,380,363
420001,662244,406,350
430001,707158,315,403
440001,1232158,404,399
450001,124898,303,361
460001,886506,339,343
470001,898124,366,437
480001,547729,310,360
490001,1209162,369,339
500001,1106823,324,390
510001,732356,352,380
520001,533286,384,401
530001,410533,359,373
540001,787825,397,426
550001,607075,388,428
560001,326792,444,348
570001,1614183,397,478
580001,262604,343,367
590001,1947061,396,398
600001,1247462,403,436
610001,279824,312,341
620001,946275,425,437
630001,796106,442,414
640001,1337727,328,443
650001,1704613,399,405
660001,1560839,463,378
670001,606142,380,373
680001,486220,401,399
690001,1824660,345,339
700001,417717,347,408
710001,1437454,446,392
720001,1680564,434,368
730001,1136830,445,451
740001,314272,301,341
750001,2004890,388,417
760001,633946,421,382
770001,1620840,367,449
780001,1932089,377,439
790001,520943,371,377
800001,2165106,421,436
810001,941884,506,482
820001,24697,304,340
830001,1463264,429,419
840001,1677578,409,481
850001,1981698,435,460
860001,1630883,388,469
870001,706036,371,415
880001,1722848,493,401
890001,1551647,415,491
900001,2420113,390,442
910001,2288798,411,375
920001,2410163,436,400
930001,131704,316,378
940001,163070,461,376
950001,2006412,354,400
960001,2672360,371,420
970001,267503,311,371
980001,2316751,392,454
990001,3016644,460,566
1000001,709669,395,418
1,126,154,50
10001,6593,267,251
20001,14406,271,368
30001,60033,513,501
40001,64461,549,438
50001,157283,308,342
60001,161566,305,354
70001,116771,305,320
80001,47978,353,300
90001,38354,302,294
100001,245193,244,358
110001,261423,285,349
120001,153483,334,358
130001,38391,286,308
140001,142425,261,340
150001,181876,288,311
160001,204156,355,384
170001,213455,301,326
180001,351762,340,359
190001,473502,356,339
200001,476817,341,347
210001,425590,360,370
220001,390582,328,384
230001,242323,315,312
240001,525488,279,351
250001,469881,301,381
260001,459516,327,409
270001,552602,299,368
280001,127222,375,411
290001,526160,359,382
300001,538143,362,403
310001,737703,326,394
320001,48872,368,366
330001,957462,253,287
340001,573840,364,399
350001,591103,323,355
360001,109229,387,367
370001,558930,321,399
380001,496793,344,389
390001,549950,388,384
400001,721269,426,388
410001,705365,400,356
420001,1198345,384,357
430001,287285,359,366
440001,560842,325,434
450001,773102,363,446
460001,93414,348,409
470001,1058204,406,378
480001,451482,375,368
490001,1166869,451,404
500001,920712,396,398
510001,123613,380,374
520001,1080505,406,406
530001,1020020,346,418
540001,847928,327,460
550001,1480683,344,417
560001,574805,349,364
570001,147271,453,447
580001,1307862,392,451
590001,1134015,349,433
600001,1376692,409,409
610001,1272155,366,440
620001,537893,275,432
630001,2139423,379,419
640001,1599681,389,454
650001,16016,399,367
660001,341062,389,351
670001,1342944,404,462
680001,1717179,406,434
690001,970297,416,460
700001,1050591,419,454
710001,1748701,398,423
720001,385710,372,300
730001,1380136,391,411
740001,1669322,397,440
750001,618433,427,428
760001,734284,403,456
770001,644060,388,395
780001,457030,321,336
790001,706701,375,425
800001,31706,370,317
810001,45707,381,324
820001,1694289,447,455
830001,1413633,392,467
840001,2024206,386,433
850001,2266591,426,380
860001,1161828,369,472
870001,2389868,426,402
880001,344473,377,430
890001,2291260,446,458
900001,2511776,352,441
910001,1768643,410,425
920001,2284308,321,441
930001,2566146,445,449
940001,1152328,367,455
950001,2545774,353,391
960001,2561130,390,434
970001,2329959,433,417
980001,381294,367,337
990001,860297,383,359
1000001,533438,429,394
1,96,135,41
10001,13603,290,394
20001,30169,314,431
30001,163849,230,416
40001,18052,307,322
50001,111554,278,343
60001,77997,383,391
70001,80545,276,341
80001,18956,357,364
90001,84165,371,449
100001,22733,301,260
110001,247171,279,364
120001,234806,277,352
130001,10694,267,273
140001,198233,378,402
150001,254966,288,300
160001,334787,349,366
170001,196658,289,301
180001,210304,303,396
190001,142823,388,423
200001,162774,404,361
210001,441215,344,415
220001,8183,366,348
230001,589480,323,339
240001,389087,305,389
250001,411766,293,355
260001,368652,285,325
270001,719688,304,407
280001,666821,335,398
290001,536492,369,389
300001,739929,377,380
310001,512834,346,331
320001,665272,352,382
330001,702204,374,383
340001,868574,331,351
350001,513763,347,400
360001,153069,327,424
370001,778100,421,346
380001,1017185,354,412
390001,607324,395,427
400001,227697,322,322
410001,884186,374,385
420001,779139,409,400
430001,506991,428,435
440001,129825,374,394
450001,804015,421,369
460001,801651,373,326
470001,361162,390,378
480001,146877,440,438
490001,198527,377,427
500001,445880,371,384
510001,1312518,355,451
520001,286185,333,403
530001,1029140,392,434
540001,696473,404,376
550001,615013,364,362
560001,667706,351,360
570001,549864,474,422
580001,993256,427,466
590001,1084100,425,429
600001,69983,441,327
610001,1558610,442,416
620001,1497794,400,452
630001,977346,394,524
640001,545535,421,425
650001,668618,377,393
660001,895277,482,446
670001,550355,374,362
680001,1331965,362,470
690001,1019787,409,430
700001,1151198,478,405
710001,262456,378,376
720001,1319032,392,446
730001,618354,287,377
740001,1185413,460,380
750001,6269,398,329
760001,2061591,395,389
770001,998832,419,355
780001,494576,365,392
790001,856174,342,431
800001,656366,341,371
810001,493881,368,399
820001,1044992,439,447
830001,477479,322,361
840001,1561085,375,410
850001,590615,401,392
860001,1274781,391,418
870001,600906,353,399
880001,356448,325,365
890001,860661,367,408
900001,2073478,446,445
910001,789926,380,346
920001,2166944,382,421
930001,310945,336,384
940001,415069,332,350
950001,2477385,366,418
960001,390072,370,397
970001,614080,410,424
980001,2571721,439,425
990001,125005,339,354
1000001,2824065,386,388
1,79,126,38
10001,30532,278,386
20001,75786,345,466
30001,6218,247,318
40001,61558,285,353
50001,104335,260,323
60001,4576,299,341
70001,164409,249,295
80001,388074,331,489
90001,175572,304,368
100001,171333,289,345
110001,220582,331,494
120001,162260,284,347
130001,17647,256,292
140001,10521,253,245
150001,63005,237,312
160001,155295,378,446
170001,270654,333,370
180001,336185,358,319
190001,501427,344,307
200001,266119,313,345
210001,166122,302,346
220001,379094,337,349
230001,531883,311,369
240001,388956,312,361
250001,535062,337,340
260001,96551,392,380
270001,553464,376,408
280001,275771,264,345
290001,613948,297,372
300001,650305,344,423
310001,672142,320,355
320001,520038,322,346
330001,690157,400,404
340001,903881,355,372
350001,814965,417,452
360001,572180,287,405
370001,703481,370,396
380001,149328,451,390
390001,381455,307,418
400001,328802,308,360
410001,1121054,378,414
420001,1185446,410,449
430001,219770,350,364
440001,147621,405,378
450001,1225742,487,413
460001,34176,394,354
470001,887626,382,424
480001,612038,419,457
490001,1183284,401,482
500001,118768,411,395
510001,430698,298,374
520001,888921,372,434
530001,617991,344,364
540001,741380,328,374
550001,885778,396,465
560001,590460,416,452
570001,354834,373,405
580001,1552745,389,384
590001,210869,451,392
600001,127919,404,322
610001,1406300,375,395
620001,502052,417,344
630001,77081,383,353
640001,263219,310,407
650001,1129843,429,427
660001,1065062,418,404
670001,1450064,380,402
680001,1335290,384,418
690001,1197688,483,461
700001,123628,452,462
710001,111026,406,384
720001,719295,376,419
730001,78818,306,304
740001,431057,322,376
750001,2084505,422,416
760001,2097292,361,448
770001,727755,397,398
780001,1815349,426,412
790001,758335,387,361
800001,619616,392,445
810001,153102,436,452
820001,1238608,427,433
830001,791762,450,400
840001,756411,404,438
850001,1489461,464,405
860001,1555786,360,425
870001,2298305,374,421
880001,2300867,351,407
890001,594799,439,422
900001,1876443,436,428
910001,659681,362,350
920001,1092114,432,439
930001,1787156,416,436
940001,1259598,426,466
950001,2137294,480,437
960001,926525,407,375
970001,551440,418,448
980001,509971,365,415
990001,1419714,358,419
1000001,896308,416,410
1,104,148,39
10001,18091,360,391
20001,2224,330,256
30001,25117,352,380
40001,2618,259,278
50001,43232,348,360
60001,170478,372,407
70001,52420,282,330
80001,125024,365,408
90001,178107,257,322
100001,39898,307,377
110001,276989,247,333
120001,143074,334,387
130001,11056,288,258
140001,301745,294,324
150001,276041,318,331
160001,89971,322,351
170001,490704,255,301
180001,72852,296,374
190001,63608,327,372
200001,93334,360,372
210001,182078,349,351
220001,438482,278,401
230001,230623,277,322
240001,642708,281,327
250001,208396,399,389
260001,233081,405,462
270001,550842,258,395
280001,425454,321,359
290001,104936,437,410
300001,644094,362,360
310001,861745,280,415
320001,247170,333,341
330001,326040,343,384
340001,62210,397,363
350001,377897,359,327
360001,92140,369,367
370001,116653,376,416
380001,121855,412,407
390001,905864,310,387
400001,514414,413,372
410001,648370,363,392
420001,921139,415,404
430001,218592,357,387
440001,1180954,330,397
450001,260926,319,359
460001,272159,328,331
470001,1198471,368,384
480001,309500,322,394
490001,593104,394,377
500001,877630,444,426
510001,280793,352,379
520001,930604,367,427
530001,986463,395,499
540001,27947,403,303
550001,111209,401,441
560001,832000,360,399
570001,721054,410,422
580001,197906,357,331
590001,303869,303,401
600001,1071747,406,390
610001,1040736,389,509
620001,1092304,428,445
630001,120238,346,330
640001,1065098,406,500
650001,390074,369,359
660001,1733754,389,390
670001,1764251,392,386
680001,602810,427,449
690001,744053,437,378
700001,1095656,405,400
710001,1208971,360,432
720001,1473498,462,432
730001,1365914,417,429
740001,1903333,353,411
750001,343502,357,404
760001,2066669,386,453
770001,1126094,371,371
780001,1754809,417,472
790001,1849935,407,401
800001,1925469,416,477
810001,1539632,455,452
820001,678160,363,427
830001,1791710,471,408
840001,852649,402,385
850001,1735341,437,413
860001,829326,398,375
870001,874123,342,398
880001,1821125,485,442
890001,2470353,344,386
900001,1166191,410,417
910001,1903505,393,429
920001,462214,354,351
930001,1725129,442,396
940001,992228,432,449
950001,2308820,429,392
960001,613206,382,357
970001,2247411,423,450
980001,876000,414,457
990001,2125126,413,421
1000001,920287,442,411
1,69,120,42
10001,26668,281,394
20001,38589,424,403
30001,148613,346,457
40001,25987,291,327
